DHB,Active,Recovered,Deceased,Total,Change in last 24 hours
Auckland,39,148,,187,1
Bay of Plenty,14,33,,47,0
Canterbury,59,88,8,155,1
Capital and Coast,29,64,2,95,0
Counties Manukau,22,92,,114,3
Hawke's Bay,16,26,,42,1
Hutt Valley,5,15,,20,0
Lakes,4,12,,16,0
Mid Central,2,29,,31,0
Nelson Marlborough,5,43,,48,0
Northland,13,14,,27,0
South Canterbury,9,7,,16,0
Southern,31,184,1,216,0
Tairawhiti,3,1,,4,0
Taranaki,2,12,,14,0
Waikato,77,107,1,185,0
Wairarapa,0,8,,8,0
Waitemata,69,142,1,212,0
West Coast,0,4,1,5,0
Whanganui,2,7,,9,0
Total,401,1036,14,1451,6
