Week ending date,DHB of service,Dose number,# doses administered,Notes: 
2021-02-21,Auckland,1,29,"DHB of service refers to the DHB where the vaccination was administered, not the DHB where the individual resides."
2021-02-21,Counties Manukau,1,133,"Where a number is less than 5, the record is suppressed to protect individual privacy, as a result, totals of individual records may not sum to gross figures."
2021-02-28,Auckland,1,2651,
2021-02-28,Canterbury,1,601,
2021-02-28,Capital and Coast,1,180,
2021-02-28,Counties Manukau,1,2702,
2021-02-28,Hawke's Bay,1,29,
2021-02-28,Lakes,1,72,
2021-02-28,Northland,1,18,
2021-02-28,Tairawhiti,1,79,
2021-02-28,Waikato,1,220,
2021-03-07,Auckland,1,1647,
2021-03-07,Bay of Plenty,1,208,
2021-03-07,Canterbury,1,1057,
2021-03-07,Capital and Coast,1,181,
2021-03-07,Counties Manukau,1,2685,
2021-03-07,Hawke's Bay,1,211,
2021-03-07,Lakes,1,248,
2021-03-07,Nelson Marlborough,1,406,
2021-03-07,Northland,1,162,
2021-03-07,South Canterbury,1,238,
2021-03-07,Southern,1,451,
2021-03-07,Tairawhiti,1,200,
2021-03-07,Taranaki,1,150,
2021-03-07,Waikato,1,1064,
2021-03-14,Auckland,1,1412,
2021-03-14,Auckland,2,12,
2021-03-14,Bay of Plenty,1,234,
2021-03-14,Canterbury,1,873,
2021-03-14,Capital and Coast,1,120,
2021-03-14,Counties Manukau,1,2624,
2021-03-14,Counties Manukau,2,9,
2021-03-14,Hawke's Bay,1,118,
2021-03-14,Lakes,1,173,
2021-03-14,Nelson Marlborough,1,370,
2021-03-14,Northland,1,120,
2021-03-14,Other Sites,1,472,
2021-03-14,Taranaki,1,256,
2021-03-14,Waikato,1,743,
2021-03-21,Auckland,1,437,
2021-03-21,Auckland,2,1483,
2021-03-21,Bay of Plenty,1,232,
2021-03-21,Canterbury,1,301,
2021-03-21,Canterbury,2,17,
2021-03-21,Capital and Coast,1,64,
2021-03-21,Capital and Coast,2,141,
2021-03-21,Counties Manukau,1,3464,
2021-03-21,Counties Manukau,2,1669,
2021-03-21,Hawke's Bay,1,66,
2021-03-21,Hawke's Bay,2,22,
2021-03-21,Hutt Valley,1,245,
2021-03-21,Lakes,1,179,
2021-03-21,Lakes,2,29,
2021-03-21,Nelson Marlborough,1,873,
2021-03-21,Northland,1,60,
2021-03-21,Other Sites,1,2830,
2021-03-21,Other Sites,2,10,
2021-03-21,South Canterbury,1,232,
2021-03-21,Tairawhiti,1,28,
2021-03-21,Tairawhiti,2,57,
2021-03-21,Waikato,1,962,
2021-03-21,Waikato,2,37,
2021-03-28,Auckland,1,490,
2021-03-28,Auckland,2,1754,
2021-03-28,Bay of Plenty,1,196,
2021-03-28,Bay of Plenty,2,100,
2021-03-28,Canterbury,1,482,
2021-03-28,Canterbury,2,716,
2021-03-28,Capital and Coast,1,947,
2021-03-28,Capital and Coast,2,183,
2021-03-28,Counties Manukau,1,2885,
2021-03-28,Counties Manukau,2,2675,
2021-03-28,Hawke's Bay,1,391,
2021-03-28,Hawke's Bay,2,184,
2021-03-28,Hutt Valley,1,955,
2021-03-28,Lakes,1,169,
2021-03-28,Lakes,2,224,
2021-03-28,MidCentral,1,29,
2021-03-28,Nelson Marlborough,1,617,
2021-03-28,Nelson Marlborough,2,305,
2021-03-28,Northland,1,148,
2021-03-28,Northland,2,151,
2021-03-28,Other Sites,1,2754,
2021-03-28,Other Sites,2,264,
2021-03-28,South Canterbury,1,20,
2021-03-28,South Canterbury,2,214,
2021-03-28,Southern,1,611,
2021-03-28,Southern,2,409,
2021-03-28,Tairawhiti,1,55,
2021-03-28,Tairawhiti,2,189,
2021-03-28,Taranaki,1,308,
2021-03-28,Taranaki,2,75,
2021-03-28,Waikato,1,489,
2021-03-28,Waikato,2,635,
2021-03-28,Waitemata,1,87,
2021-04-04,Auckland,1,3054,
2021-04-04,Auckland,2,1028,
2021-04-04,Bay of Plenty,1,442,
2021-04-04,Bay of Plenty,2,132,
2021-04-04,Canterbury,1,685,
2021-04-04,Canterbury,2,698,
2021-04-04,Capital and Coast,1,2772,
2021-04-04,Capital and Coast,2,116,
2021-04-04,Counties Manukau,1,3849,
2021-04-04,Counties Manukau,2,2431,
2021-04-04,Hawke's Bay,1,92,
2021-04-04,Hawke's Bay,2,108,
2021-04-04,Hutt Valley,1,1096,
2021-04-04,Lakes,1,97,
2021-04-04,Lakes,2,143,
2021-04-04,MidCentral,1,90,
2021-04-04,Nelson Marlborough,1,1973,
2021-04-04,Nelson Marlborough,2,285,
2021-04-04,Northland,1,289,
2021-04-04,Northland,2,132,
2021-04-04,Other Sites,1,1211,
2021-04-04,Other Sites,2,190,
2021-04-04,South Canterbury,1,508,
2021-04-04,South Canterbury,2,17,
2021-04-04,Southern,1,2472,
2021-04-04,Southern,2,15,
2021-04-04,Taranaki,1,324,
2021-04-04,Taranaki,2,153,
2021-04-04,Waikato,1,946,
2021-04-04,Waikato,2,571,
2021-04-04,Waitemata,1,2523,
2021-04-04,Whanganui,1,90,
2021-04-11,Auckland,1,4050,
2021-04-11,Auckland,2,541,
2021-04-11,Bay of Plenty,1,657,
2021-04-11,Bay of Plenty,2,181,
2021-04-11,Canterbury,1,760,
2021-04-11,Canterbury,2,728,
2021-04-11,Capital and Coast,1,3351,
2021-04-11,Capital and Coast,2,22,
2021-04-11,Counties Manukau,1,4871,
2021-04-11,Counties Manukau,2,3318,
2021-04-11,Hawke's Bay,1,531,
2021-04-11,Hawke's Bay,2,64,
2021-04-11,Hutt Valley,1,839,
2021-04-11,Hutt Valley,2,224,
2021-04-11,Lakes,1,669,
2021-04-11,Lakes,2,163,
2021-04-11,MidCentral,1,176,
2021-04-11,Nelson Marlborough,1,2120,
2021-04-11,Nelson Marlborough,2,772,
2021-04-11,Northland,1,1635,
2021-04-11,Northland,2,65,
2021-04-11,Other Sites,1,433,
2021-04-11,Other Sites,2,2137,
2021-04-11,South Canterbury,1,346,
2021-04-11,South Canterbury,2,201,
2021-04-11,Southern,1,2788,
2021-04-11,Southern,2,10,
2021-04-11,Taranaki,1,180,
2021-04-11,Taranaki,2,150,
2021-04-11,Waikato,1,1172,
2021-04-11,Waikato,2,759,
2021-04-11,Wairarapa,1,114,
2021-04-11,Waitemata,1,2283,
2021-04-11,Waitemata,2,5,
2021-04-11,West Coast,1,34,
2021-04-11,Whanganui,1,180,
2021-04-18,Auckland,1,4713,
2021-04-18,Auckland,2,853,
2021-04-18,Bay of Plenty,1,974,
2021-04-18,Bay of Plenty,2,314,
2021-04-18,Canterbury,1,5526,
2021-04-18,Canterbury,2,546,
2021-04-18,Capital and Coast,1,2881,
2021-04-18,Capital and Coast,2,443,
2021-04-18,Counties Manukau,1,5930,
2021-04-18,Counties Manukau,2,2560,
2021-04-18,Hawke's Bay,1,937,
2021-04-18,Hawke's Bay,2,317,
2021-04-18,Hutt Valley,1,848,
2021-04-18,Hutt Valley,2,618,
2021-04-18,Lakes,1,743,
2021-04-18,Lakes,2,158,
2021-04-18,MidCentral,1,349,
2021-04-18,MidCentral,2,18,
2021-04-18,Nelson Marlborough,1,1890,
2021-04-18,Nelson Marlborough,2,530,
2021-04-18,Northland,1,1615,
2021-04-18,Northland,2,113,
2021-04-18,Other Sites,1,240,
2021-04-18,Other Sites,2,2870,
2021-04-18,South Canterbury,1,637,
2021-04-18,South Canterbury,2,44,
2021-04-18,Southern,1,4886,
2021-04-18,Southern,2,461,
2021-04-18,Tairawhiti,1,682,
2021-04-18,Tairawhiti,2,88,
2021-04-18,Taranaki,1,281,
2021-04-18,Taranaki,2,137,
2021-04-18,Waikato,1,2052,
2021-04-18,Waikato,2,917,
2021-04-18,Wairarapa,1,476,
2021-04-18,Waitemata,1,2311,
2021-04-18,Waitemata,2,64,
2021-04-18,West Coast,1,127,
2021-04-18,Whanganui,1,509,
2021-04-25,Auckland,1,3819,
2021-04-25,Auckland,2,2528,
2021-04-25,Bay of Plenty,1,1617,
2021-04-25,Bay of Plenty,2,440,
2021-04-25,Canterbury,1,6650,
2021-04-25,Canterbury,2,476,
2021-04-25,Capital and Coast,1,1439,
2021-04-25,Capital and Coast,2,2164,
2021-04-25,Counties Manukau,1,4785,
2021-04-25,Counties Manukau,2,3276,
2021-04-25,Hawke's Bay,1,1346,
2021-04-25,Hawke's Bay,2,117,
2021-04-25,Hutt Valley,1,750,
2021-04-25,Hutt Valley,2,728,
2021-04-25,Lakes,1,1494,
2021-04-25,Lakes,2,117,
2021-04-25,MidCentral,1,907,
