Territorial Authority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Ashburton District,12+,"27,424",Masked,Masked,"22,125","16,178",>95%,>95%,73%
Ashburton District,5-11,"3,207","1,770",Masked,,,55%,<5%,
Auckland,12+,"1,383,806",Masked,Masked,"1,144,065","791,298",>95%,>95%,69%
Auckland,5-11,"163,783","93,722","2,214",,,57%,<5%,
Buller District,12+,"8,272","7,770","7,618","6,073","4,651",94%,92%,77%
Buller District,5-11,719,287,0,,,40%,<5%,
Carterton District,12+,"8,259",Masked,Masked,"6,541","5,068",>95%,>95%,77%
Carterton District,5-11,834,445,9,,,53%,<5%,
Central Hawke's Bay District,12+,"11,838",Masked,Masked,"9,286","6,630",>95%,>95%,71%
Central Hawke's Bay District,5-11,"1,483",617,Masked,,,42%,<5%,
Central Otago District,12+,"19,636",Masked,Masked,"16,598","12,774",>95%,>95%,77%
Central Otago District,5-11,"1,828","1,015",Masked,,,56%,<5%,
Chatham Islands Territory,12+,180,Masked,Masked,227,167,>95%,>95%,74%
Chatham Islands Territory,5-11,10,7,0,,,70%,<5%,
Christchurch City,12+,"322,365",Masked,Masked,"267,933","199,293",>95%,>95%,74%
Christchurch City,5-11,"31,521","17,952",164,,,57%,<5%,
Clutha District,12+,"14,979",Masked,"14,060","11,463","8,114",>95%,94%,71%
Clutha District,5-11,"1,658",692,Masked,,,42%,<5%,
Dunedin City,12+,"110,495",Masked,Masked,"92,769","75,273",>95%,>95%,81%
Dunedin City,5-11,"9,731","6,234",62,,,64%,<5%,
Far North District,12+,"56,422","50,535","48,859","38,472","26,006",90%,87%,68%
Far North District,5-11,"7,092","1,737",Masked,,,24%,<5%,
Gisborne District,12+,"40,638","38,503","37,443","28,580","20,002",95%,92%,70%
Gisborne District,5-11,"5,499","2,305",36,,,42%,<5%,
Gore District,12+,"10,754","10,092","9,914","8,021","5,925",94%,92%,74%
Gore District,5-11,"1,139",361,Masked,,,32%,<5%,
Grey District,12+,"11,412","10,802","10,566","8,449","6,273",95%,93%,74%
Grey District,5-11,"1,238",518,Masked,,,42%,<5%,
Hamilton City,12+,"137,530",Masked,Masked,"111,034","74,639",>95%,>95%,67%
Hamilton City,5-11,"17,180","8,763",109,,,51%,<5%,
Hastings District,12+,"69,386",Masked,Masked,"53,735","38,408",>95%,>95%,71%
Hastings District,5-11,"8,940","3,636",34,,,41%,<5%,
Hauraki District,12+,"17,324","15,837","15,494","12,587","8,699",91%,89%,69%
Hauraki District,5-11,"1,786",588,Masked,,,33%,<5%,
Horowhenua District,12+,"28,824",Masked,"27,213","21,878","16,432",>95%,94%,75%
Horowhenua District,5-11,"3,103","1,281",12,,,41%,<5%,
Hurunui District,12+,"10,818",Masked,"10,239","8,491","6,066",>95%,95%,71%
Hurunui District,5-11,"1,179",541,Masked,,,46%,<5%,
Invercargill City,12+,"45,988",Masked,"43,571","35,255","26,175",>95%,95%,74%
Invercargill City,5-11,"5,144","2,331",14,,,45%,<5%,
Kaikoura District,12+,"3,473","3,195","3,156","2,689","2,032",92%,91%,76%
Kaikoura District,5-11,315,134,0,,,43%,<5%,
Kaipara District,12+,"20,198","18,092","17,568","14,440","9,790",90%,87%,68%
Kaipara District,5-11,"2,230",639,Masked,,,29%,<5%,
Kapiti Coast District,12+,"47,238",Masked,Masked,"38,052","30,782",>95%,>95%,81%
Kapiti Coast District,5-11,"4,659","2,395",27,,,51%,<5%,
Kawerau District,12+,"6,115","5,489","5,276","3,791","2,598",90%,86%,69%
Kawerau District,5-11,854,182,Masked,,,21%,<5%,
Lower Hutt City,12+,"90,426",Masked,Masked,"71,824","54,505",>95%,>95%,76%
Lower Hutt City,5-11,"10,445","6,279",38,,,60%,<5%,
Mackenzie District,12+,"4,141","3,909","3,866","3,231","2,214",94%,93%,69%
Mackenzie District,5-11,391,167,0,,,43%,<5%,
Manawatu District,12+,"25,555",Masked,Masked,"20,028","14,637",>95%,>95%,73%
Manawatu District,5-11,"3,185","1,480",8,,,46%,<5%,
Marlborough District,12+,"41,136",Masked,Masked,"33,763","26,415",>95%,>95%,78%
Marlborough District,5-11,"4,156","2,160",37,,,52%,<5%,
Masterton District,12+,"22,673",Masked,Masked,"17,337","12,947",>95%,>95%,75%
Masterton District,5-11,"2,400","1,039",30,,,43%,<5%,
Matamata-Piako District,12+,"29,220",Masked,"27,463","22,628","14,852",>95%,94%,66%
Matamata-Piako District,5-11,"3,307","1,258",15,,,38%,<5%,
Napier City,12+,"54,392",Masked,"51,536","41,843","30,660",>95%,95%,73%
Napier City,5-11,"6,159","2,643",41,,,43%,<5%,
Nelson City,12+,"44,843",Masked,Masked,"35,349","27,539",>95%,>95%,78%
