Territorial Authority,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved ,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake,Notes:
Ashburton District,12+,"28,959",Masked,"27,227","25,721","18,439","7,817","2,022",>95%,94%,72%,26%,
Ashburton District,5-11,"3,235","1,771",856,,,,,55%,26%,,,"Population is based on the population reported as being in the TLA at the time the HSU population was created for reporting purposes (mid 2020 for numbers, December 2020 for address).
Vaccination data will include individuals that are now 12 years and older, that were not included in the original HSU population, but are eligible to be vaccinated now. 
TLA2018 boundaries do not map cleanly to the DHB boundaries, meaning that the population numbers for all of NZ are correct, but aggregating to a DHB level will get a different number to that published. 
Vaccinations are based on the TLA of residence at the time of vaccination and again the numbers will not match exactly to the DHB numbers previously published. 
Data is extracted and aggregated to allow for comparison of vaccinations to population at a TLA level and may not be suitable for any other purpose.
The Ministry kindly requests that before publishing anything based on this data, that you allow the Ministry to review the messaging and numbers in case of any errors in the data. 
Data is aggregated and whilst all care is taken to maintain accuracy, there may be some minor errors that should not impact on overall percentages.
Population, first and second dose data is for individuals in the age range shown.  Booster data is for individuals 18+


"
Auckland,12+,"1,468,419","1,360,631","1,344,260","1,267,119","901,133","328,366","115,196",93%,92%,71%,35%,
Auckland,5-11,"161,323","93,039","53,431",,Masked,,,58%,33%,>95%,,
Buller District,12+,"8,707","7,780","7,657","7,307","5,256","2,985",976,89%,88%,72%,33%,
Buller District,5-11,740,331,176,,,,,45%,24%,,,
Carterton District,12+,"8,651","8,122","7,994","7,561","5,645","3,204","1,176",94%,92%,75%,37%,
Carterton District,5-11,832,437,217,,,,,53%,26%,,,
Central Hawke's Bay District,12+,"12,508",Masked,"11,696","11,047","7,891","3,797","1,160",>95%,94%,71%,31%,
Central Hawke's Bay District,5-11,"1,456",663,281,,,,,46%,19%,,,
Central Otago District,12+,"20,795",Masked,"19,750","18,831","14,204","7,666","2,858",>95%,95%,75%,37%,
Central Otago District,5-11,"1,816","1,020",521,,,,,56%,29%,,,
Chatham Islands Territory,12+,276,Masked,Masked,294,221,106,14,>95%,>95%,75%,13%,
Chatham Islands Territory,5-11,14,10,Masked,,,,,71%,36%,,,
Christchurch City,12+,"343,918","325,856","322,595","306,482","229,339","84,940","30,942",95%,94%,75%,36%,
Christchurch City,5-11,"31,208","18,483","10,687",,,,,59%,34%,,,
Clutha District,12+,"15,517","14,183","13,986","13,234","9,051","4,245","1,184",91%,90%,68%,28%,
Clutha District,5-11,"1,567",719,314,,,,,46%,20%,,,
Dunedin City,12+,"114,950",Masked,Masked,"105,889","83,597","33,428","12,789",>95%,>95%,79%,38%,
Dunedin City,5-11,"9,480","6,026","3,629",,,,,64%,38%,,,
Far North District,12+,"59,649","50,710","49,193","46,374","30,266","16,479","5,031",85%,82%,65%,31%,
Far North District,5-11,"7,197","1,970",769,,,,,27%,11%,,,
Gisborne District,12+,"42,561","38,529","37,559","35,038","23,022","10,875","3,424",91%,88%,66%,31%,
Gisborne District,5-11,"5,401","2,573","1,370",,,,,48%,25%,,,
Gore District,12+,"11,003","9,986","9,849","9,315","6,488","3,453",926,91%,90%,70%,27%,
Gore District,5-11,"1,073",354,192,,,,,33%,18%,,,
Grey District,12+,"11,872","10,832","10,619","10,045","7,038","3,742","1,091",91%,89%,70%,29%,
Grey District,5-11,"1,138",517,276,,,,,45%,24%,,,
Hamilton City,12+,"147,441","137,147","134,956","127,125","84,859","30,857","10,669",93%,92%,67%,35%,
Hamilton City,5-11,"17,497","8,679","4,258",,,,,50%,24%,,,
Hastings District,12+,"74,221","70,298","69,000","64,789","44,359","20,368","6,286",95%,93%,68%,31%,
Hastings District,5-11,"8,650","3,848","1,735",,,,,44%,20%,,,
Hauraki District,12+,"18,063","15,878","15,539","14,760","9,958","5,127","1,550",88%,86%,67%,30%,
Hauraki District,5-11,"1,779",611,274,,,,,34%,15%,,,
Horowhenua District,12+,"30,027","27,698","27,184","25,728","18,232","10,167","4,038",92%,91%,71%,40%,
Horowhenua District,5-11,"3,095","1,279",553,,,,,41%,18%,,,
Hurunui District,12+,"11,490","10,543","10,377","9,834","7,044","3,112",933,92%,90%,72%,30%,
Hurunui District,5-11,"1,158",550,292,,,,,47%,25%,,,
Invercargill City,12+,"47,368","44,011","43,334","40,882","28,775","13,597","4,272",93%,91%,70%,31%,
Invercargill City,5-11,"5,029","2,379","1,213",,,,,47%,24%,,,
Kaikoura District,12+,"3,527","3,200","3,164","3,026","2,244","1,385",382,91%,90%,74%,28%,
Kaikoura District,5-11,296,137,79,,,,,46%,27%,,,
