Territorial Authority,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved ,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake,Notes:
Ashburton District,12+,"29,561","27,501","27,032","25,734","18,474","16,539","6,199",93%,91%,72%,37%,
Ashburton District,5-11,"3,237","1,548",820,,,,,48%,25%,,,"Population is based on the population reported as being in the TLA at the time the HSU population was created for reporting purposes (December 2021).
Vaccination data will include individuals that are now 12 years and older, that were not included in the original HSU population, but are eligible to be vaccinated now. 
TLA2018 boundaries do not map cleanly to the DHB boundaries, meaning that the population numbers for all of NZ are correct, but aggregating to a DHB level will get a different number to that published. 
Vaccinations are based on the TLA of residence at the time of vaccination and again the numbers will not match exactly to the DHB numbers previously published. 
Data is extracted and aggregated to allow for comparison of vaccinations to population at a TLA level and may not be suitable for any other purpose.
The Ministry kindly requests that before publishing anything based on this data, that you allow the Ministry to review the messaging and numbers in case of any errors in the data. 
Data is aggregated and whilst all care is taken to maintain accuracy, there may be some minor errors that should not impact on overall percentages.
Population, first and second dose data is for individuals in the age range shown.  First booster data is for individuals 18+ and second booster data is for individuals 50+. 


"
Auckland,12+,"1,479,297","1,363,271","1,342,934","1,274,376","910,034","752,862","248,332",92%,91%,71%,33%,
Auckland,5-11,"161,176","83,103","50,196",,Masked,,,52%,31%,>95%,,
Buller District,12+,"8,854","7,761","7,628","7,309","5,225","4,947","1,917",88%,86%,71%,39%,
Buller District,5-11,744,287,158,,,,,39%,21%,,,
Carterton District,12+,"8,723","8,047","7,892","7,540","5,610","5,209","2,321",92%,90%,74%,45%,
Carterton District,5-11,832,376,198,,,,,45%,24%,,,
Central Hawke's Bay District,12+,"13,028","11,905","11,651","11,087","7,877","7,197","2,670",91%,89%,71%,37%,
Central Hawke's Bay District,5-11,"1,483",586,265,,,,,40%,18%,,,
Central Otago District,12+,"21,356","20,042","19,763","18,959","14,307","13,159","5,721",94%,93%,75%,43%,
Central Otago District,5-11,"1,836",879,471,,,,,48%,26%,,,
Chatham Islands Territory,12+,309,Masked,Masked,324,234,208,43,>95%,>95%,72%,21%,
Chatham Islands Territory,5-11,18,12,Masked,,,,,67%,28%,,,
Christchurch City,12+,"349,158","327,694","323,640","309,318","232,066","191,022","75,921",94%,93%,75%,40%,
Christchurch City,5-11,"31,316","16,453","10,055",,Masked,,,53%,32%,>95%,,
Clutha District,12+,"15,615","14,003","13,745","13,101","8,916","8,105","2,656",90%,88%,68%,33%,
Clutha District,5-11,"1,568",628,297,,,,,40%,19%,,,
Dunedin City,12+,"118,087",Masked,"111,234","106,767","83,093","62,613","27,733",>95%,94%,78%,44%,
Dunedin City,5-11,"9,364","5,334","3,329",,,,,57%,36%,,,
Far North District,12+,"60,463","50,439","48,799","46,592","30,351","28,258","9,913",83%,81%,65%,35%,
Far North District,5-11,"7,118","1,705",734,,,,,24%,10%,,,
Gisborne District,12+,"42,902","37,964","36,878","34,736","22,840","20,036","7,274",88%,86%,66%,36%,
Gisborne District,5-11,"5,357","2,228","1,311",,,,,42%,24%,,,
Gore District,12+,"11,059","9,950","9,779","9,336","6,455","5,808","1,946",90%,88%,69%,34%,
Gore District,5-11,"1,030",284,160,,,,,28%,16%,,,
Grey District,12+,"11,988","10,784","10,546","10,044","7,001","6,394","2,248",90%,88%,70%,35%,
Grey District,5-11,"1,141",462,251,,,,,40%,22%,,,
Hamilton City,12+,"149,223","137,297","134,659","127,717","85,785","69,990","22,414",92%,90%,67%,32%,
Hamilton City,5-11,"17,646","7,668","4,088",,Masked,,,43%,23%,>95%,,
Hastings District,12+,"76,625","69,810","68,321","64,877","44,479","38,925","14,186",91%,89%,69%,36%,
Hastings District,5-11,"8,718","3,337","1,634",,Masked,,,38%,19%,>95%,,
Hauraki District,12+,"18,159","15,676","15,293","14,675","9,875","9,213","3,844",86%,84%,67%,42%,
Hauraki District,5-11,"1,805",525,258,,,,,29%,14%,,,
Horowhenua District,12+,"30,501","27,565","26,939","25,741","18,163","16,596","7,057",90%,88%,71%,43%,
Horowhenua District,5-11,"3,065","1,100",508,,,,,36%,17%,,,
Hurunui District,12+,"11,760","10,564","10,387","9,917","7,096","6,483","2,523",90%,88%,72%,39%,
Hurunui District,5-11,"1,139",488,262,,,,,43%,23%,,,
Invercargill City,12+,"47,467","43,827","43,026","40,982","28,808","25,583","8,597",92%,91%,70%,34%,
Invercargill City,5-11,"5,011","2,084","1,125",,,,,42%,22%,,,
Kaikoura District,12+,"3,629","3,218","3,183","3,068","2,258","2,124",839,89%,88%,74%,40%,
Kaikoura District,5-11,304,122,71,,,,,40%,23%,,,
Kaipara District,12+,"21,778","18,007","17,515","16,896","11,070","10,381","3,361",83%,80%,66%,32%,
Kaipara District,5-11,"2,340",584,265,,,,,25%,11%,,,
Kapiti Coast District,12+,"49,276","45,677","45,062","42,998","33,736","30,710","15,640",93%,91%,78%,51%,
Kapiti Coast District,5-11,"4,475","2,085","1,331",,,,,47%,30%,,,
Kawerau District,12+,"6,403","5,397","5,175","4,926","2,926","2,700",999,84%,81%,59%,37%,
Kawerau District,5-11,790,160,41,,,,,20%,5%,,,
Lower Hutt City,12+,"94,519","88,114","86,753","82,335","61,657","52,816","21,602",93%,92%,75%,41%,
Lower Hutt City,5-11,"10,146","5,538","3,466",,Masked,,,55%,34%,>95%,,
Mackenzie District,12+,"4,333","3,880","3,815","3,665","2,611","2,309",762,90%,88%,71%,33%,
Mackenzie District,5-11,370,165,68,,,,,45%,18%,,,
Manawatu District,12+,"27,415","25,270","24,818","23,464","16,476","14,784","5,575",92%,91%,70%,38%,
Manawatu District,5-11,"3,219","1,377",745,,,,,43%,23%,,,
Marlborough District,12+,"44,648","41,071","40,416","38,703","28,652","26,004","11,195",92%,91%,74%,43%,
Marlborough District,5-11,"4,065","1,829",973,,,,,45%,24%,,,
Masterton District,12+,"23,874","21,916","21,438","20,483","14,369","12,986","5,681",92%,90%,70%,44%,
Masterton District,5-11,"2,391",932,397,,,,,39%,17%,,,
Matamata-Piako District,12+,"30,800","28,050","27,479","26,261","16,923","15,310","5,724",91%,89%,64%,37%,
Matamata-Piako District,5-11,"3,457","1,166",497,,,,,34%,14%,,,
Napier City,12+,"57,498","52,216","51,167","48,732","34,569","30,939","12,699",91%,89%,71%,41%,
Napier City,5-11,"6,005","2,369","1,154",,,,,39%,19%,,,
Nelson City,12+,"48,173","43,554","42,792","40,819","30,369","27,406","12,263",90%,89%,74%,45%,
Nelson City,5-11,"4,378","2,130","1,109",,,,,49%,25%,,,
New Plymouth District,12+,"73,263","66,428","65,213","61,865","42,461","38,184","14,108",91%,89%,69%,37%,
New Plymouth District,5-11,"8,316","3,252","1,862",,,,,39%,22%,,,
Opotiki District,12+,"7,896","6,641","6,338","6,070","3,833","3,529","1,182",84%,80%,63%,33%,
Opotiki District,5-11,999,204,68,,,,,20%,7%,,,
Otorohanga District,12+,"8,428","7,302","7,134","6,746","3,956","3,630","1,292",87%,85%,59%,36%,
Otorohanga District,5-11,"1,075",260,121,,,,,24%,11%,,,
Palmerston North City,12+,"75,817","69,926","68,849","65,252","47,702","38,920","15,071",92%,91%,73%,39%,
Palmerston North City,5-11,"8,413","4,064","2,402",,,,,48%,29%,,,
Porirua City,12+,"50,507","47,037","46,165","43,411","31,460","27,122","10,751",93%,91%,72%,40%,
Porirua City,5-11,"6,538","3,313","1,831",,,,,51%,28%,,,
Queenstown-Lakes District,12+,"43,395","39,914","39,182","37,678","24,396","20,532","6,081",92%,90%,65%,30%,
Queenstown-Lakes District,5-11,"3,502","1,734",995,,Masked,,,50%,28%,>95%,,
Rangitikei District,12+,"13,306","11,789","11,558","11,039","7,734","6,953","2,718",89%,87%,70%,39%,
Rangitikei District,5-11,"1,468",559,256,,,,,38%,17%,,,
Rotorua District,12+,"61,886","55,123","53,709","50,802","33,394","29,521","10,777",89%,87%,66%,37%,
Rotorua District,5-11,"7,644","2,679","1,281",,,,,35%,17%,,,
Ruapehu District,12+,"10,452","8,777","8,471","8,099","5,151","4,730","1,728",84%,81%,64%,37%,
Ruapehu District,5-11,"1,343",325,150,,,,,24%,11%,,,
Selwyn District,12+,"61,314",Masked,Masked,"56,383","41,905","36,405","12,024",>95%,>95%,74%,33%,
Selwyn District,5-11,"7,466","4,359","2,754",,,,,58%,37%,,,
South Taranaki District,12+,"22,522","19,661","19,218","18,234","11,687","10,610","3,356",87%,85%,64%,32%,
South Taranaki District,5-11,"2,708",876,447,,,,,32%,17%,,,
South Waikato District,12+,"20,418","17,996","17,484","16,611","10,060","9,155","3,115",88%,86%,61%,34%,
South Waikato District,5-11,"2,663",759,343,,,,,29%,13%,,,
South Wairarapa District,12+,"10,226","9,509","9,327","8,913","6,721","6,258","2,882",93%,91%,75%,46%,
South Wairarapa District,5-11,998,458,243,,,,,46%,24%,,,
Southland District,12+,"26,077","23,177","22,737","21,587","14,463","13,167","3,868",89%,87%,67%,29%,
Southland District,5-11,"2,964","1,050",533,,,,,35%,18%,,,
Stratford District,12+,"7,971","7,114","6,959","6,614","4,327","3,958","1,383",89%,87%,65%,35%,
Stratford District,5-11,969,382,197,,,,,39%,20%,,,
